"funnel_name","step_number","step_name","version","placement","script_name","script_kind","source_or_signal","file_path","notes","status"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/header.html","Same migrated scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/header.html","Same migrated scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","header","Trustpilot TrustBox widget","external_js","//widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/header.html","Same migrated scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","body","FAQ accordion behavior","inline_js","jQuery faq-accord-question / faq-accord-answer","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","1","Challenge Registration - Bill","B","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/01-challenge-registration-bill/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Google Ads free registration conversion","inline_js","AW-577876231/H4-bCJjm24MaEIfixpMC","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","gtag conversion for KRC Registration - Free.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Meta CompleteRegistration event","inline_js","fbq CompleteRegistration content_type krc-free","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","Uses random eventID.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Meta Pixel base PageView","inline_js","Pixel IDs 992152782782277 and 223840571612758","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","Loads fbevents.js and tracks PageView.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Meta Pixel noscript PageView pixels","noscript_pixel","facebook.com/tr for both pixel IDs","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","Fallback PageView images.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/header.html","Loads GTM web container.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","body","CF Pro Tools Show Only These Products VIP FC","external_js","https://cdn.cfptaddons.com/655b6e1e-cf63-4240-9ce2-cd959db1a71f.js","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html","Version A product visibility add-on.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html","Validates phone fields and writes intl-phone hidden field.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html","Testing GTM noscript fallback.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","A","body","VIP paid 47 dataLayer/CAPI prep","inline_js","event bt_krc_vip_paid_47","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-a/body.html","Hashes user fields and pushes purchase-style payload to dataLayer.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Google Ads free registration conversion","inline_js","AW-577876231/H4-bCJjm24MaEIfixpMC","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Meta CompleteRegistration event","inline_js","fbq CompleteRegistration content_type krc-free","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Meta Pixel base PageView","inline_js","Pixel IDs 992152782782277 and 223840571612758","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Meta Pixel noscript PageView pixels","noscript_pixel","facebook.com/tr for both pixel IDs","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/header.html","Same header scripts as version A.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","body","CF Pro Tools Show Only These Products VIPFC-2","external_js","https://cdn.cfptaddons.com/a3f6b2af-7cbf-45d0-a8ac-8ad5cb865375.js","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html","Version B product visibility add-on.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html","Validates phone fields and writes intl-phone hidden field.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html","Appears twice in version B body file.","identified"
"5-Day Keyboard Rich Challenge","2","VIP (Free Challenge)","B","body","VIP paid 47 dataLayer/CAPI prep","inline_js","event bt_krc_vip_paid_47","funnels/5-day-keyboard-rich-challenge/02-vip-free-challenge/version-b/body.html","Hashes user fields and pushes purchase-style payload to dataLayer.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","A","header","Google Ads VIP purchase conversion","inline_js","AW-577876231/RUk3CIaCgvMYEIfixpMC","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/header.html","Simple gtag conversion with blank transaction_id.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","A","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/header.html","Loads GTM web container.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","A","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-a/body.html","Testing GTM noscript fallback.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","B","header","Google Ads VIP purchase conversion with value","inline_js","AW-577876231/RUk3CIaCgvMYEIfixpMC","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/header.html","Adds value 47.00, USD, and transaction_id KRC-Date.now.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","B","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/header.html","Loads GTM web container.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","B","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","B","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","3","VIP Thank You","B","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/03-vip-thank-you/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","4","Regular Thank You (Free Challenge)","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-a/body.html","No migrated header scripts beyond dataLayer marker.","identified"
"5-Day Keyboard Rich Challenge","4","Regular Thank You (Free Challenge)","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","4","Regular Thank You (Free Challenge)","B","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","4","Regular Thank You (Free Challenge)","B","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/04-regular-thank-you-free-challenge/version-b/body.html","Body file matches version A.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","header","Meta Pixel base PageView","inline_js","Pixel IDs 992152782782277 and 223840571612758","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/header.html","Loads fbevents.js and tracks PageView.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","header","Meta Pixel noscript PageView pixels","noscript_pixel","facebook.com/tr for both pixel IDs","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/header.html","Fallback PageView images.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/header.html","Loads GTM web container.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","body","CF Pro Tools Show Only These Products 1","external_js","https://cdn.cfptaddons.com/426262ae-4c35-4324-8f68-5c7c79ef5238.js","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html","Product visibility add-on.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html","Validates phone fields and writes intl-phone hidden field.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html","Testing GTM noscript fallback.","identified"
"5-Day Keyboard Rich Challenge","5","VIP Upgrade","A","body","VIP paid 47 dataLayer/CAPI prep","inline_js","event bt_krc_vip_paid_47","funnels/5-day-keyboard-rich-challenge/05-vip-upgrade/version-a/body.html","Hashes user fields and pushes purchase-style payload to dataLayer.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/header.html","Same header stack as VIP Upgrade.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/header.html","Same header stack as VIP Upgrade.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","header","Meta Pixel base PageView","inline_js","Pixel IDs 992152782782277 and 223840571612758","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/header.html","Same header stack as VIP Upgrade.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","header","Meta Pixel noscript PageView pixels","noscript_pixel","facebook.com/tr for both pixel IDs","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/header.html","Same header stack as VIP Upgrade.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/header.html","Same header stack as VIP Upgrade.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/body.html","Validates phone fields and writes intl-phone hidden field.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/body.html","Testing GTM noscript fallback.","identified"
"5-Day Keyboard Rich Challenge","6","VIP Upgrade A","A","body","VIP paid 47 dataLayer/CAPI prep","inline_js","event bt_krc_vip_paid_47","funnels/5-day-keyboard-rich-challenge/06-vip-upgrade-a/version-a/body.html","Hashes user fields and pushes purchase-style payload to dataLayer.","identified"
"5-Day Keyboard Rich Challenge","7","VIP Upgrade A Thank You","A","header","Google Ads VIP purchase conversion","inline_js","AW-577876231/RUk3CIaCgvMYEIfixpMC","funnels/5-day-keyboard-rich-challenge/07-vip-upgrade-a-thank-you/version-a/header.html","Simple gtag conversion with blank transaction_id.","identified"
"5-Day Keyboard Rich Challenge","7","VIP Upgrade A Thank You","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/07-vip-upgrade-a-thank-you/version-a/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","7","VIP Upgrade A Thank You","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/07-vip-upgrade-a-thank-you/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/header.html","Same header stack as VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/header.html","Same header stack as VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","header","Meta Pixel base PageView","inline_js","Pixel IDs 992152782782277 and 223840571612758","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/header.html","Same header stack as VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","header","Meta Pixel noscript PageView pixels","noscript_pixel","facebook.com/tr for both pixel IDs","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/header.html","Same header stack as VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","header","Google Tag Manager web container","inline_js","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/header.html","Same header stack as VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/body.html","Body file matches VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/body.html","Body file matches VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","body","Phone validation custom logic","inline_js","intlTelInput + IPinfo token f6106ad2dcab3d","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/body.html","Body file matches VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","body","Google Tag Manager noscript iframe","noscript_iframe","GTM-MSSDW42T","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/body.html","Body file matches VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","8","VIP Upgrade B","A","body","VIP paid 47 dataLayer/CAPI prep","inline_js","event bt_krc_vip_paid_47","funnels/5-day-keyboard-rich-challenge/08-vip-upgrade-b/version-a/body.html","Body file matches VIP Upgrade A.","identified"
"5-Day Keyboard Rich Challenge","9","VIP Upgrade B Thank You","A","header","Google Ads VIP purchase conversion","inline_js","AW-577876231/RUk3CIaCgvMYEIfixpMC","funnels/5-day-keyboard-rich-challenge/09-vip-upgrade-b-thank-you/version-a/header.html","Simple gtag conversion with blank transaction_id.","identified"
"5-Day Keyboard Rich Challenge","9","VIP Upgrade B Thank You","A","body","CF Pro Tools Vimeo Autoplay Unmute Restart 1","external_js","https://cdn.cfptaddons.com/e74fd7fe-3746-4724-900c-cd680ecbaced.js","funnels/5-day-keyboard-rich-challenge/09-vip-upgrade-b-thank-you/version-a/body.html","Vimeo autoplay/unmute/restart add-on.","identified"
"5-Day Keyboard Rich Challenge","9","VIP Upgrade B Thank You","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/09-vip-upgrade-b-thank-you/version-a/body.html","Initializes vgo visitor tracking.","identified"
"5-Day Keyboard Rich Challenge","10","Replays A","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/10-replays-a/version-a/body.html","No migrated header scripts beyond dataLayer marker.","identified"
"5-Day Keyboard Rich Challenge","10","Replays A","B","body","No migrated scripts found","none","","funnels/5-day-keyboard-rich-challenge/10-replays-a/version-b/body.html","Body placeholder only; header has dataLayer marker only.","identified"
"5-Day Keyboard Rich Challenge","11","Replays B","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/11-replays-b/version-a/body.html","No migrated header scripts beyond dataLayer marker.","identified"
"5-Day Keyboard Rich Challenge","11","Replays B","B","body","No migrated scripts found","none","","funnels/5-day-keyboard-rich-challenge/11-replays-b/version-b/body.html","Body placeholder only; header has dataLayer marker only.","identified"
"5-Day Keyboard Rich Challenge","12","Breakout Replay","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/12-breakout-replay/version-a/body.html","No migrated header scripts beyond dataLayer marker.","identified"
"5-Day Keyboard Rich Challenge","13","Welcome Party Replay","A","body","No migrated scripts found","none","","funnels/5-day-keyboard-rich-challenge/13-welcome-party-replay/version-a/body.html","Body placeholder only; header has dataLayer marker only.","identified"
"5-Day Keyboard Rich Challenge","14","$47 Checkout","A","header","Phone validation stylesheet","stylesheet","intl-tel-input 17.0.8 CSS","funnels/5-day-keyboard-rich-challenge/14-47-checkout/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","14","$47 Checkout","A","header","Phone validation library","external_js","intl-tel-input 17.0.8 JS","funnels/5-day-keyboard-rich-challenge/14-47-checkout/version-a/header.html","Phone validation dependency.","identified"
"5-Day Keyboard Rich Challenge","14","$47 Checkout","A","body","ActiveCampaign site tracking","inline_js","diffuser-cdn.app-us1.com / account 252390389","funnels/5-day-keyboard-rich-challenge/14-47-checkout/version-a/body.html","Initializes vgo visitor tracking.","identified"
